"Week",Stored Energy Value [MWh] - BZN|SE3
"Week 1","1462000"
"Week 2","1447000"
"Week 3","1385000"
"Week 4","1308000"
"Week 5","1235000"
"Week 6","1205000"
"Week 7","1165000"
"Week 8","1130000"
"Week 9","1093000"
"Week 10","1063000"
"Week 11","1013000"
"Week 12","995000"
"Week 13","1018000"
"Week 14","1030000"
"Week 15","988000"
"Week 16","1026000"
"Week 17","1370000"
"Week 18","1660000"
"Week 19","1803000"
"Week 20","1881000"
"Week 21","1988000"
"Week 22","2124000"
"Week 23","2217000"
"Week 24","2276000"
"Week 25","2305000"
"Week 26","2290000"
"Week 27","2285000"
"Week 28","2248000"
"Week 29","2225000"
"Week 30","2200000"
"Week 31","2137000"
"Week 32","2096000"
"Week 33","2085000"
"Week 34","2072000"
"Week 35","2066000"
"Week 36","2132000"
"Week 37","2213000"
"Week 38","2190000"
"Week 39","2151000"
"Week 40","2127000"
"Week 41","2099000"
"Week 42","2246000"
"Week 43","2346000"
"Week 44","2349000"
"Week 45","2230000"
"Week 46","2238000"
"Week 47","2333000"
"Week 48","2345000"
"Week 49","2325000"
"Week 50","2314000"
"Week 51","2302000"
"Week 52","2248000"
