"Week",Stored Energy Value [MWh] - BZN|NO5
"Week 1","11211000"
"Week 2","11074000"
"Week 3","10810000"
"Week 4","10644000"
"Week 5","10265000"
"Week 6","9733000"
"Week 7","9368000"
"Week 8","9123000"
"Week 9","8643000"
"Week 10","8071000"
"Week 11","7615000"
"Week 12","7058000"
"Week 13","6560000"
"Week 14","5984000"
"Week 15","5508000"
"Week 16","5078000"
"Week 17","4675000"
"Week 18","4249000"
"Week 19","3862000"
"Week 20","3483000"
"Week 21","3416000"
"Week 22","3927000"
"Week 23","5269000"
"Week 24","7092000"
"Week 25","9603000"
"Week 26","11744000"
"Week 27","12728000"
"Week 28","13279000"
"Week 29","13971000"
"Week 30","14365000"
"Week 31","15301000"
"Week 32","15748000"
"Week 33","15806000"
"Week 34","16021000"
"Week 35","15882000"
"Week 36","15810000"
"Week 37","16156000"
"Week 38","16391000"
"Week 39","16459000"
"Week 40","16403000"
"Week 41","16371000"
"Week 42","15913000"
"Week 43","15650000"
"Week 44","15628000"
"Week 45","15956000"
"Week 46","15762000"
"Week 47","16283000"
"Week 48","16079000"
"Week 49","15534000"
"Week 50","14882000"
"Week 51","14402000"
"Week 52","13955000"
"Week 53","13305000"
