"Week",Stored Energy Value [MWh] - BZN|NO1
"Week 1","4505000"
"Week 2","4146000"
"Week 3","3888000"
"Week 4","3544000"
"Week 5","3195000"
"Week 6","2834642"
"Week 7","2581663"
"Week 8","2335855"
"Week 9","2083371"
"Week 10","1846676"
"Week 11","1577887"
"Week 12","1378861"
"Week 13","1302957"
"Week 14","1199507"
"Week 15","1065076"
"Week 16","1030606"
"Week 17","942838"
"Week 18","900727"
"Week 19","1507029"
"Week 20","2428228"
"Week 21","3090310"
"Week 22","3655404"
"Week 23","4014420"
"Week 24","4270695"
"Week 25","4483009"
"Week 26","4491851"
"Week 27","4608737"
"Week 28","4626738"
"Week 29","4592937"
"Week 30","4767776"
"Week 31","4770941"
"Week 32","4758091"
"Week 33","4764530"
"Week 34","4687601"
"Week 35","4540749"
"Week 36","4400770"
"Week 37","4299813"
"Week 38","4221346"
"Week 39","4536315"
"Week 40","4823491"
"Week 41","4797228"
"Week 42","4776372"
"Week 43","4834643"
"Week 44","4934586"
"Week 45","4795096"
"Week 46","4682989"
"Week 47","4419441"
"Week 48","4143739"
"Week 49","3844118"
"Week 50","3616897"
"Week 51","3379601"
"Week 52","3204274"
