"Week",Stored Energy Value [MWh] - BZN|NO1
"Week 1","3632000"
"Week 2","3467000"
"Week 3","3227000"
"Week 4","2925000"
"Week 5","2638000"
"Week 6","2380000"
"Week 7","2103000"
"Week 8","1816000"
"Week 9","1558000"
"Week 10","1344000"
"Week 11","1138000"
"Week 12","996000"
"Week 13","933000"
"Week 14","868000"
"Week 15","752000"
"Week 16","739000"
"Week 17","1345000"
"Week 18","2099000"
"Week 19","2292000"
"Week 20","2605000"
"Week 21","3679000"
"Week 22","3901000"
"Week 23","4466000"
"Week 24","4730000"
"Week 25","4781000"
"Week 26","4768000"
"Week 27","4769000"
"Week 28","4707000"
"Week 29","4709000"
"Week 30","4772000"
"Week 31","4743000"
"Week 32","4733000"
"Week 33","5008000"
"Week 34","5087000"
"Week 35","5115000"
"Week 36","5225000"
"Week 37","5209000"
"Week 38","5169000"
"Week 39","5169000"
"Week 40","5203000"
"Week 41","5162000"
"Week 42","5224000"
"Week 43","5306000"
"Week 44","5244000"
"Week 45","5033000"
"Week 46","4888000"
"Week 47","4875000"
"Week 48","4766000"
"Week 49","4657000"
"Week 50","4522000"
"Week 51","4336000"
"Week 52","4140000"
