"Week",Stored Energy Value [MWh] - BZN|NO2
"Week 1","24273000"
"Week 2","24560000"
"Week 3","24476000"
"Week 4","24254000"
"Week 5","23819000"
"Week 6","23134000"
"Week 7","22764000"
"Week 8","22697000"
"Week 9","21859000"
"Week 10","20956000"
"Week 11","20269000"
"Week 12","19526000"
"Week 13","18645000"
"Week 14","17734000"
"Week 15","17034000"
"Week 16","16572000"
"Week 17","16320000"
"Week 18","15755000"
"Week 19","15293000"
"Week 20","14683000"
"Week 21","14950000"
"Week 22","16551000"
"Week 23","19087000"
"Week 24","21835000"
"Week 25","24597000"
"Week 26","27119000"
"Week 27","28699000"
"Week 28","29467000"
"Week 29","30083000"
"Week 30","30430000"
"Week 31","31825000"
"Week 32","32036000"
"Week 33","31652000"
"Week 34","31705000"
"Week 35","31613000"
"Week 36","31451000"
"Week 37","31941000"
"Week 38","31851000"
"Week 39","31848000"
"Week 40","31998000"
"Week 41","32525000"
"Week 42","31964000"
"Week 43","32053000"
"Week 44","32359000"
"Week 45","32986000"
"Week 46","32548000"
"Week 47","33388000"
"Week 48","33137000"
"Week 49","32388000"
"Week 50","31518000"
"Week 51","31082000"
"Week 52","30772000"
"Week 53","30004000"
