"Week",Stored Energy Value [MWh] - BZN|NO5
"Week 1","8130917"
"Week 2","7834726"
"Week 3","7445563"
"Week 4","7172051"
"Week 5","6748563"
"Week 6","6368820"
"Week 7","5979667"
"Week 8","5373032"
"Week 9","4719615"
"Week 10","4200460"
"Week 11","3709118"
"Week 12","3235284"
"Week 13","2785155"
"Week 14","2477712"
"Week 15","2061322"
"Week 16","1942936"
"Week 17","1688611"
"Week 18","1624537"
"Week 19","1952616"
"Week 20","2302226"
"Week 21","3405141"
"Week 22","4038100"
"Week 23","5395090"
"Week 24","6735089"
"Week 25","8018923"
"Week 26","9428249"
"Week 27","10162000"
"Week 28","10628088"
"Week 29","11109433"
"Week 30","11592699"
"Week 31","12068215"
"Week 32","12154249"
"Week 33","12257612"
"Week 34","12265837"
"Week 35","12170229"
"Week 36","12023086"
"Week 37","12248623"
"Week 38","12231292"
"Week 39","12605383"
"Week 40","13471035"
"Week 41","13690313"
"Week 42","13634613"
"Week 43","14016600"
"Week 44","14440213"
"Week 45","15431832"
"Week 46","15137592"
"Week 47","14668123"
"Week 48","14109842"
"Week 49","13361399"
"Week 50","12519513"
"Week 51","12168425"
"Week 52","12014136"
