"Week",Stored Energy Value [MWh] - BZN|NO2
"Week 1","21792000"
"Week 2","21081000"
"Week 3","20173000"
"Week 4","19046000"
"Week 5","18021000"
"Week 6","17279000"
"Week 7","16739000"
"Week 8","16382000"
"Week 9","16027000"
"Week 10","15552000"
"Week 11","15043000"
"Week 12","14796000"
"Week 13","14692000"
"Week 14","14728000"
"Week 15","14154000"
"Week 16","13740000"
"Week 17","15373000"
"Week 18","17120000"
"Week 19","17173000"
"Week 20","17624000"
"Week 21","19777000"
"Week 22","20527000"
"Week 23","22159000"
"Week 24","23412000"
"Week 25","24329000"
"Week 26","24747000"
"Week 27","25177000"
"Week 28","25009000"
"Week 29","24910000"
"Week 30","25094000"
"Week 31","25012000"
"Week 32","24976000"
"Week 33","25586000"
"Week 34","26605000"
"Week 35","26891000"
"Week 36","27378000"
"Week 37","28116000"
"Week 38","28671000"
"Week 39","28630000"
"Week 40","28297000"
"Week 41","28534000"
"Week 42","28820000"
"Week 43","29131000"
"Week 44","28705000"
"Week 45","27765000"
"Week 46","26971000"
"Week 47","26330000"
"Week 48","25496000"
"Week 49","25010000"
"Week 50","24685000"
"Week 51","24225000"
"Week 52","23767000"
