"Week",Stored Energy Value [MWh] - BZN|NO3
"Week 1","6593000"
"Week 2","6167000"
"Week 3","5775000"
"Week 4","5311000"
"Week 5","4917000"
"Week 6","4532192"
"Week 7","4169409"
"Week 8","4061840"
"Week 9","4009921"
"Week 10","3792044"
"Week 11","3557218"
"Week 12","3464190"
"Week 13","3418608"
"Week 14","3292723"
"Week 15","3037321"
"Week 16","2892296"
"Week 17","2575016"
"Week 18","2322901"
"Week 19","2661679"
"Week 20","3391021"
"Week 21","4080053"
"Week 22","4884842"
"Week 23","5670071"
"Week 24","6275868"
"Week 25","6552980"
"Week 26","6561132"
"Week 27","6589808"
"Week 28","6518645"
"Week 29","6523738"
"Week 30","6438622"
"Week 31","6248826"
"Week 32","6193512"
"Week 33","6422321"
"Week 34","6511957"
"Week 35","6536635"
"Week 36","6631616"
"Week 37","6517640"
"Week 38","6514552"
"Week 39","6446807"
"Week 40","6495598"
"Week 41","6802077"
"Week 42","7066055"
"Week 43","7487797"
"Week 44","7456024"
"Week 45","7325281"
"Week 46","7323412"
"Week 47","7021428"
"Week 48","6705318"
"Week 49","6260775"
"Week 50","6224605"
"Week 51","6037506"
"Week 52","5688093"
