"Week",Stored Energy Value [MWh] - BZN|NO3
"Week 1","5588000"
"Week 2","5541000"
"Week 3","5285000"
"Week 4","5402000"
"Week 5","5189000"
"Week 6","4992000"
"Week 7","4775000"
"Week 8","4571000"
"Week 9","4206000"
"Week 10","3834000"
"Week 11","3596000"
"Week 12","3314000"
"Week 13","3058000"
"Week 14","2829000"
"Week 15","2672000"
"Week 16","2542000"
"Week 17","2380000"
"Week 18","2130000"
"Week 19","1946000"
"Week 20","1724000"
"Week 21","1691000"
"Week 22","2353000"
"Week 23","3684000"
"Week 24","4832000"
"Week 25","6345000"
"Week 26","7423000"
"Week 27","7755000"
"Week 28","7930000"
"Week 29","8109000"
"Week 30","8237000"
"Week 31","8461000"
"Week 32","8585000"
"Week 33","8515000"
"Week 34","8548000"
"Week 35","8491000"
"Week 36","8366000"
"Week 37","8452000"
"Week 38","8555000"
"Week 39","8737000"
"Week 40","8721000"
"Week 41","8561000"
"Week 42","8481000"
"Week 43","8334000"
"Week 44","8321000"
"Week 45","8545000"
"Week 46","8487000"
"Week 47","8599000"
"Week 48","8483000"
"Week 49","8231000"
"Week 50","7914000"
"Week 51","7654000"
"Week 52","7429000"
"Week 53","7068000"
