"Week",Stored Energy Value [MWh] - BZN|NO2
"Week 1","28831000"
"Week 2","27682000"
"Week 3","26875000"
"Week 4","25490000"
"Week 5","24358000"
"Week 6","23056454"
"Week 7","21997976"
"Week 8","21946082"
"Week 9","21028490"
"Week 10","20238154"
"Week 11","19226018"
"Week 12","18510602"
"Week 13","19236426"
"Week 14","18807148"
"Week 15","17774482"
"Week 16","17054616"
"Week 17","16014055"
"Week 18","15307387"
"Week 19","16336393"
"Week 20","17608678"
"Week 21","19202970"
"Week 22","20513474"
"Week 23","21274230"
"Week 24","22198664"
"Week 25","22496276"
"Week 26","22168828"
"Week 27","22593482"
"Week 28","22376700"
"Week 29","21918842"
"Week 30","22100492"
"Week 31","21733852"
"Week 32","21386842"
"Week 33","20824464"
"Week 34","20106332"
"Week 35","19451478"
"Week 36","18824710"
"Week 37","18038686"
"Week 38","17738560"
"Week 39","18520440"
"Week 40","19095498"
"Week 41","19279940"
"Week 42","19533740"
"Week 43","20812436"
"Week 44","21583582"
"Week 45","21489808"
"Week 46","21624600"
"Week 47","20955286"
"Week 48","19906024"
"Week 49","18702742"
"Week 50","18201860"
"Week 51","17163376"
"Week 52","16810140"
