"Week",Stored Energy Value [MWh] - BZN|NO1
"Week 1","4012000"
"Week 2","3844000"
"Week 3","3718000"
"Week 4","3568000"
"Week 5","3390000"
"Week 6","3143000"
"Week 7","2966000"
"Week 8","2862000"
"Week 9","2570000"
"Week 10","2290000"
"Week 11","2054000"
"Week 12","1759000"
"Week 13","1523000"
"Week 14","1303000"
"Week 15","1155000"
"Week 16","1074000"
"Week 17","1170000"
"Week 18","1206000"
"Week 19","1250000"
"Week 20","1242000"
"Week 21","1443000"
"Week 22","2096000"
"Week 23","3217000"
"Week 24","4018000"
"Week 25","4740000"
"Week 26","5200000"
"Week 27","5310000"
"Week 28","5329000"
"Week 29","5386000"
"Week 30","5379000"
"Week 31","5584000"
"Week 32","5630000"
"Week 33","5578000"
"Week 34","5568000"
"Week 35","5515000"
"Week 36","5432000"
"Week 37","5417000"
"Week 38","5451000"
"Week 39","5574000"
"Week 40","5623000"
"Week 41","5858000"
"Week 42","5755000"
"Week 43","5735000"
"Week 44","5823000"
"Week 45","5919000"
"Week 46","5792000"
"Week 47","5907000"
"Week 48","5764000"
"Week 49","5613000"
"Week 50","5436000"
"Week 51","5265000"
"Week 52","5109000"
"Week 53","4873000"
