"Week",Stored Energy Value [MWh] - BZN|NO2
"Week 1","16214535"
"Week 2","15749289"
"Week 3","15047132"
"Week 4","14733590"
"Week 5","14257951"
"Week 6","13791581"
"Week 7","13411681"
"Week 8","12707400"
"Week 9","11670216"
"Week 10","10660841"
"Week 11","9575135"
"Week 12","8703219"
"Week 13","7900623"
"Week 14","7293544"
"Week 15","6593094"
"Week 16","6588652"
"Week 17","6334677"
"Week 18","6335969"
"Week 19","7575908"
"Week 20","8397713"
"Week 21","10289749"
"Week 22","11221400"
"Week 23","12580832"
"Week 24","13910933"
"Week 25","14662910"
"Week 26","15452105"
"Week 27","16120569"
"Week 28","16378502"
"Week 29","16402670"
"Week 30","16717333"
"Week 31","17085000"
"Week 32","17005580"
"Week 33","17020204"
"Week 34","17119092"
"Week 35","17071218"
"Week 36","16901952"
"Week 37","17178680"
"Week 38","17159852"
"Week 39","18023794"
"Week 40","20058792"
"Week 41","21159410"
"Week 42","21810842"
"Week 43","22579802"
"Week 44","23931948"
"Week 45","25449076"
"Week 46","25227514"
"Week 47","24693174"
"Week 48","24042326"
"Week 49","22990452"
"Week 50","21893510"
"Week 51","21328774"
"Week 52","21384042"
