"Week",Stored Energy Value [MWh] - BZN|NO3
"Week 1","5235000"
"Week 2","5140000"
"Week 3","4897000"
"Week 4","4553000"
"Week 5","4200000"
"Week 6","3858000"
"Week 7","3631000"
"Week 8","3425000"
"Week 9","3249000"
"Week 10","2962000"
"Week 11","2688000"
"Week 12","2501000"
"Week 13","2441000"
"Week 14","2534000"
"Week 15","2236000"
"Week 16","2068000"
"Week 17","2725000"
"Week 18","3307000"
"Week 19","3326000"
"Week 20","3586000"
"Week 21","4799000"
"Week 22","5062000"
"Week 23","6068000"
"Week 24","6631000"
"Week 25","7082000"
"Week 26","7232000"
"Week 27","7518000"
"Week 28","7462000"
"Week 29","7415000"
"Week 30","7455000"
"Week 31","7389000"
"Week 32","7281000"
"Week 33","7376000"
"Week 34","7433000"
"Week 35","7488000"
"Week 36","7495000"
"Week 37","7634000"
"Week 38","8064000"
"Week 39","7951000"
"Week 40","7857000"
"Week 41","7681000"
"Week 42","7492000"
"Week 43","7504000"
"Week 44","7353000"
"Week 45","7008000"
"Week 46","6694000"
"Week 47","6418000"
"Week 48","6125000"
"Week 49","6046000"
"Week 50","5852000"
"Week 51","5597000"
"Week 52","5418000"
