"Week",Stored Energy Value [MWh] - BZN|NO5
"Week 1","10566000"
"Week 2","10190000"
"Week 3","9639000"
"Week 4","8943000"
"Week 5","8267000"
"Week 6","7686000"
"Week 7","7265000"
"Week 8","6868000"
"Week 9","6448000"
"Week 10","6001000"
"Week 11","5519000"
"Week 12","5199000"
"Week 13","4979000"
"Week 14","4813000"
"Week 15","4377000"
"Week 16","4093000"
"Week 17","4486000"
"Week 18","5181000"
"Week 19","5131000"
"Week 20","5364000"
"Week 21","6973000"
"Week 22","7452000"
"Week 23","9038000"
"Week 24","10055000"
"Week 25","10782000"
"Week 26","11193000"
"Week 27","11672000"
"Week 28","11641000"
"Week 29","11767000"
"Week 30","12146000"
"Week 31","12216000"
"Week 32","12223000"
"Week 33","12693000"
"Week 34","13121000"
"Week 35","13513000"
"Week 36","13760000"
"Week 37","14148000"
"Week 38","14470000"
"Week 39","14404000"
"Week 40","14305000"
"Week 41","14275000"
"Week 42","14209000"
"Week 43","14414000"
"Week 44","14236000"
"Week 45","13743000"
"Week 46","13289000"
"Week 47","12870000"
"Week 48","12409000"
"Week 49","12141000"
"Week 50","11851000"
"Week 51","11456000"
"Week 52","11156000"
