"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","01.01.2021 21:00 - 01.01.2021 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","66","2625","n/e","n/e","0","10","n/e","2","n/e","493"
"BZN|NO3","01.01.2021 22:00 - 01.01.2021 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","65","2542","n/e","n/e","0","11","n/e","3","n/e","634"
"BZN|NO3","01.01.2021 23:00 - 02.01.2021 00:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","64","2396","n/e","n/e","0","11","n/e","3","n/e","662"
"BZN|NO3","02.01.2021 00:00 - 02.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","64","2355","n/e","n/e","0","9","n/e","0","n/e","675"
"BZN|NO3","02.01.2021 01:00 - 02.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","63","2329","n/e","n/e","0","9","n/e","0","n/e","633"
"BZN|NO3","02.01.2021 02:00 - 02.01.2021 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","64","2367","n/e","n/e","0","10","n/e","0","n/e","564"
"BZN|NO3","02.01.2021 03:00 - 02.01.2021 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","64","2368","n/e","n/e","0","9","n/e","2","n/e","568"
"BZN|NO3","02.01.2021 04:00 - 02.01.2021 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","65","2401","n/e","n/e","0","9","n/e","0","n/e","493"
"BZN|NO3","02.01.2021 05:00 - 02.01.2021 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","64","2490","n/e","n/e","0","10","n/e","0","n/e","443"
"BZN|NO3","02.01.2021 06:00 - 02.01.2021 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","64","2597","n/e","n/e","0","9","n/e","3","n/e","416"
"BZN|NO3","02.01.2021 07:00 - 02.01.2021 08:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","68","2706","n/e","n/e","0","10","n/e","3","n/e","422"
"BZN|NO3","02.01.2021 08:00 - 02.01.2021 09:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","71","2774","n/e","n/e","0","10","n/e","2","n/e","401"
"BZN|NO3","02.01.2021 09:00 - 02.01.2021 10:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","71","2842","n/e","n/e","0","9","n/e","0","n/e","306"
"BZN|NO3","02.01.2021 10:00 - 02.01.2021 11:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","71","2841","n/e","n/e","0","14","n/e","3","n/e","331"
"BZN|NO3","02.01.2021 11:00 - 02.01.2021 12:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","71","2840","n/e","n/e","0","9","n/e","2","n/e","217"
"BZN|NO3","02.01.2021 12:00 - 02.01.2021 13:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","70","2850","n/e","n/e","0","9","n/e","1","n/e","191"
"BZN|NO3","02.01.2021 13:00 - 02.01.2021 14:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","71","2850","n/e","n/e","0","9","n/e","2","n/e","190"
"BZN|NO3","02.01.2021 14:00 - 02.01.2021 15:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","73","2880","n/e","n/e","0","9","n/e","4","n/e","168"
"BZN|NO3","02.01.2021 15:00 - 02.01.2021 16:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2894","n/e","n/e","0","9","n/e","5","n/e","130"
"BZN|NO3","02.01.2021 16:00 - 02.01.2021 17:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2896","n/e","n/e","0","8","n/e","5","n/e","87"
"BZN|NO3","02.01.2021 17:00 - 02.01.2021 18:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","176","","73","2891","n/e","n/e","0","9","n/e","5","n/e","59"
"BZN|NO3","02.01.2021 18:00 - 02.01.2021 19:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","176","","72","2863","n/e","n/e","0","8","n/e","5","n/e","36"
"BZN|NO3","02.01.2021 19:00 - 02.01.2021 20:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","69","2772","n/e","n/e","0","9","n/e","4","n/e","19"
"BZN|NO3","02.01.2021 20:00 - 02.01.2021 21:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","175","","68","2649","n/e","n/e","0","9","n/e","3","n/e","19"
"BZN|NO3","02.01.2021 21:00 - 02.01.2021 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","174","","64","2641","n/e","n/e","0","10","n/e","4","n/e","25"
"BZN|NO3","02.01.2021 22:00 - 02.01.2021 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","168","","64","2635","n/e","n/e","0","9","n/e","3","n/e","3"
